State,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
Alabama,21340,221018,17159,7354,348,31447
Alaska,1468,19022,1441,805,47,2149
Arizona,30154,271482,29768,17374,366,42891
Arkansas,12564,133698,13065,6022,284,19871
California,108265,1124611,121756,61729,1738,169943
Colorado,15275,167795,14844,7814,392,22678
Connecticut,12478,124748,10102,4055,215,18727
Delaware,3411,39200,3340,1671,64,5139
District of Columbia,2218,24564,2939,1667,26,3512
Florida,80732,872084,94465,49586,1228,126724
Georgia,36194,366083,33356,18562,520,51460
Hawaii,1876,44814,3460,950,62,4444
Idaho,5573,60398,4861,2815,143,7752
Illinois,38526,426877,39489,19810,591,58759
Indiana,26721,269840,27417,13879,516,40740
Iowa,10972,119961,9652,4053,315,16870
Kansas,10100,107736,9287,4474,304,15201
Kentucky,20111,199346,22926,10216,501,33265
Louisiana,17593,190330,15438,8838,225,24402
Maine,3186,58671,4058,853,137,6524
Maryland,17978,199664,17872,7205,327,28928
Massachusetts,21092,229298,20254,8646,554,33216
Michigan,36902,393768,35995,18408,670,55118
Minnesota,15193,179689,14053,5583,381,24028
Mississippi,14815,133557,15307,7434,259,22912
Missouri,23239,261344,22527,11002,574,35292
Montana,3949,42297,3710,1996,107,5766
Nebraska,5789,66890,5967,2487,161,9418
Nevada,12192,112615,15139,9178,200,18341
New Hampshire,3073,48997,3170,1143,100,5192
New Jersey,35480,299433,30338,17206,361,48941
New Mexico,8901,81159,8582,4849,181,12798
New York,41931,403514,43226,17823,782,68067
New York City,38012,235469,27672,13875,1247,52194
North Carolina,33957,395755,37266,17888,722,54018
North Dakota,3089,28486,3326,1613,93,4890
Ohio,49479,494727,44112,24006,858,70398
Oklahoma,18401,163629,18095,8059,486,28858
Oregon,9133,151133,9017,3673,343,14803
Pennsylvania,52700,531075,44631,22860,942,75334
Rhode Island,4041,40599,3274,1749,76,5640
South Carolina,20661,214001,18293,8715,356,30561
South Dakota,3457,32826,3429,1587,110,5402
Tennessee,30114,314672,32396,15483,679,47635
Texas,103822,888004,102328,58018,1547,149487
Utah,5826,79425,6020,2786,174,9221
Vermont,947,22682,1315,318,59,2002
Virginia,22938,286651,20419,9746,427,34008
Washington,14861,234841,19194,8728,539,25838
West Virginia,8266,94236,10398,4249,202,14604
Wisconsin,16968,213135,14106,5982,420,25479
Wyoming,1839,19603,1814,968,33,2717
Puerto Rico,6198,118531,16643,4289,286,18797
